category,keyword,platform,accio,rawCount,rawMin,rawMax,count,min,p25,median,p75,max,sample,url
"curtain","オーダーカーテン 遮光","rakuten","¥11,800-¥62,800 / Plan ¥15,800～","71","1","124200","68","1600","2800","6787","17180","124200","1600|1680|1950|2180|2200|2250|2280|2300|2380|2400|2443|2500|2574|2600|2680|2772|2800|2900|2980|3000","https://search.rakuten.co.jp/search/mall/%E3%82%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%82%AB%E3%83%BC%E3%83%86%E3%83%B3+%E9%81%AE%E5%85%89/"
"curtain","オーダーカーテン 遮光","yahoo","¥11,800-¥62,800 / Plan ¥15,800～","30","1298","9900","30","1298","2800","4180","4980","9900","1298|1990|2280|2400|2490|2507|2730|2800|2860|2950|3088|3480|3500|3880|4180|4200|4258|4308|4500|4649","https://shopping.yahoo.co.jp/search?p=%E3%82%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%82%AB%E3%83%BC%E3%83%86%E3%83%B3+%E9%81%AE%E5%85%89"
"curtain","オーダーカーテン 遮光","amazon","¥11,800-¥62,800 / Plan ¥15,800～","229","100","36900","190","1050","3180","7600","17800","36900","1050|1100|1150|1200|1250|1300|1400|1450|1500|1600|1650|1675|1750|1800|1900|1919|1950|1963|2020|2033","https://www.amazon.co.jp/s?k=%E3%82%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%82%AB%E3%83%BC%E3%83%86%E3%83%B3+%E9%81%AE%E5%85%89"
"wpc_decking","人工木 ウッドデッキ","rakuten","¥9,800-¥24,800/㎡","42","880","119920","40","1947","12900","27300","49780","119920","1947|2200|2500|2800|3490|3499|5900|9980|10860|12900|13800|14990|15990|16980|19840|24050|24999|25800|26800|27300","https://search.rakuten.co.jp/search/mall/%E4%BA%BA%E5%B7%A5%E6%9C%A8+%E3%82%A6%E3%83%83%E3%83%89%E3%83%87%E3%83%83%E3%82%AD/"
"wpc_decking","人工木 ウッドデッキ","yahoo","¥9,800-¥24,800/㎡","27","1","41800","25","1980","13480","19700","25800","41800","1980|4200|5500|6450|8999|12900|13480|14599|15480|16800|16980|17800|19700|19840|21580|24050|24999|25700|25800|26340","https://shopping.yahoo.co.jp/search?p=%E4%BA%BA%E5%B7%A5%E6%9C%A8+%E3%82%A6%E3%83%83%E3%83%89%E3%83%87%E3%83%83%E3%82%AD"
"wpc_decking","人工木 ウッドデッキ","amazon","¥9,800-¥24,800/㎡","234","340","370400","219","1100","17800","52800","163700","370400","1100|1200|1350|1500|1650|1850|2000|2020|2200|2400|2650|2900|3100|3400|3700|4000|4300|4600|5000|5300","https://www.amazon.co.jp/s?k=%E4%BA%BA%E5%B7%A5%E6%9C%A8+%E3%82%A6%E3%83%83%E3%83%89%E3%83%87%E3%83%83%E3%82%AD"
"acrylic_sign","アクリル サイン オーダー","rakuten","¥8,500-¥88,800","47","44","40810","39","1198","2347","3580","8500","40810","1198|1400|1480|1580|1680|1800|1900|1980|2200|2347|2350|2400|2498|2500|2580|2598|3000|3080|3098|3580","https://search.rakuten.co.jp/search/mall/%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB+%E3%82%B5%E3%82%A4%E3%83%B3+%E3%82%AA%E3%83%BC%E3%83%80%E3%83%BC/"
"acrylic_sign","アクリル サイン オーダー","yahoo","¥8,500-¥88,800","19","200","31530","17","1200","2240","4280","12800","31530","1200|1350|1400|1800|2240|2500|2800|3602|4280|4480|9700|12600|12800|13600|16600|17600|31530","https://shopping.yahoo.co.jp/search?p=%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB+%E3%82%B5%E3%82%A4%E3%83%B3+%E3%82%AA%E3%83%BC%E3%83%80%E3%83%BC"
"acrylic_sign","アクリル サイン オーダー","amazon","¥8,500-¥88,800","229","105","123100","192","1000","5600","21800","59500","123100","1000|1100|1200|1240|1299|1300|1398|1400|1480|1499|1500|1599|1650|1680|1700|1750|1850|1899|1980|2000","https://www.amazon.co.jp/s?k=%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%AB+%E3%82%B5%E3%82%A4%E3%83%B3+%E3%82%AA%E3%83%BC%E3%83%80%E3%83%BC"
"lightbox_film","バックライトフィルム 灯箱","rakuten","¥4,500/㎡～, ¥15,800～, ¥38,000～","43","550","135300","37","1063","3950","13420","57200","135300","1063|1360|1650|1850|1980|2140|2200|2286|3784|3950|4450|4840|5090|5390|7700|8514|10500|10670|13420|14960","https://search.rakuten.co.jp/search/mall/%E3%83%90%E3%83%83%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%88%E3%83%95%E3%82%A3%E3%83%AB%E3%83%A0+%E7%81%AF%E7%AE%B1/"
